Date,Price
26-Jan-18,7505.77
25-Jan-18,7411.16
24-Jan-18,7415.06
23-Jan-18,7460.29
22-Jan-18,7408.03
19-Jan-18,7336.38
18-Jan-18,7296.05
17-Jan-18,7298.28
16-Jan-18,7223.69
12-Jan-18,7261.06
11-Jan-18,7211.78
10-Jan-18,7153.57
09-Jan-18,7163.58
08-Jan-18,7157.39
05-Jan-18,7136.56
04-Jan-18,7077.91
03-Jan-18,7065.53
02-Jan-18,7006.9
29-Dec-17,6903.39
28-Dec-17,6950.16
27-Dec-17,6939.34
26-Dec-17,6936.25
22-Dec-17,6959.96
21-Dec-17,6965.36
20-Dec-17,6960.96
19-Dec-17,6963.85
18-Dec-17,6994.76
15-Dec-17,6936.58
14-Dec-17,6856.53
13-Dec-17,6875.8
12-Dec-17,6862.32
11-Dec-17,6875.08
08-Dec-17,6840.08
07-Dec-17,6812.84
06-Dec-17,6776.38
05-Dec-17,6762.21
04-Dec-17,6775.37
01-Dec-17,6847.59
30-Nov-17,6873.97
29-Nov-17,6824.39
28-Nov-17,6912.36
27-Nov-17,6878.52
24-Nov-17,6889.16
22-Nov-17,6867.36
21-Nov-17,6862.48
20-Nov-17,6790.71
17-Nov-17,6782.79
16-Nov-17,6793.29
15-Nov-17,6706.21
14-Nov-17,6737.87
13-Nov-17,6757.6
10-Nov-17,6750.94
09-Nov-17,6750.05
08-Nov-17,6789.12
07-Nov-17,6767.78
06-Nov-17,6786.44
03-Nov-17,6764.44
02-Nov-17,6714.94
01-Nov-17,6716.53
31-Oct-17,6727.67
30-Oct-17,6698.96
27-Oct-17,6701.26
26-Oct-17,6556.77
25-Oct-17,6563.89
24-Oct-17,6598.43
23-Oct-17,6586.83
20-Oct-17,6629.05
19-Oct-17,6605.07
18-Oct-17,6624.22
17-Oct-17,6623.66
16-Oct-17,6624.01
13-Oct-17,6605.8
12-Oct-17,6591.51
11-Oct-17,6603.55
10-Oct-17,6587.25
09-Oct-17,6579.73
06-Oct-17,6590.18
05-Oct-17,6585.36
04-Oct-17,6534.63
03-Oct-17,6531.71
02-Oct-17,6516.72
29-Sep-17,6495.96
28-Sep-17,6453.45
27-Sep-17,6453.26
26-Sep-17,6380.16
25-Sep-17,6370.59
22-Sep-17,6426.92
21-Sep-17,6422.69
20-Sep-17,6456.04
19-Sep-17,6461.32
18-Sep-17,6454.64
15-Sep-17,6448.47
14-Sep-17,6429.08
13-Sep-17,6460.19
12-Sep-17,6454.28
11-Sep-17,6432.26
08-Sep-17,6360.19
07-Sep-17,6397.87
06-Sep-17,6393.31
05-Sep-17,6375.57
01-Sep-17,6435.33
31-Aug-17,6428.66
30-Aug-17,6368.31
29-Aug-17,6301.89
28-Aug-17,6283.02
25-Aug-17,6265.64
24-Aug-17,6271.33
23-Aug-17,6278.41
22-Aug-17,6297.48
21-Aug-17,6213.13
18-Aug-17,6216.53
17-Aug-17,6221.91
16-Aug-17,6345.11
15-Aug-17,6333.01
14-Aug-17,6340.23
11-Aug-17,6256.56
10-Aug-17,6216.87
09-Aug-17,6352.33
08-Aug-17,6370.46
07-Aug-17,6383.77
04-Aug-17,6351.56
03-Aug-17,6340.34
02-Aug-17,6362.65
01-Aug-17,6362.94
31-Jul-17,6348.12
28-Jul-17,6374.68
27-Jul-17,6382.19
26-Jul-17,6422.75
25-Jul-17,6412.17
24-Jul-17,6410.81
21-Jul-17,6387.75
20-Jul-17,6390
19-Jul-17,6385.04
18-Jul-17,6344.31
17-Jul-17,6314.43
14-Jul-17,6312.47
13-Jul-17,6274.44
12-Jul-17,6261.17
11-Jul-17,6193.31
10-Jul-17,6176.39
07-Jul-17,6153.08
06-Jul-17,6089.46
05-Jul-17,6150.85
03-Jul-17,6110.06
30-Jun-17,6140.42
29-Jun-17,6144.35
28-Jun-17,6234.41
27-Jun-17,6146.62
26-Jun-17,6247.15
23-Jun-17,6265.25
22-Jun-17,6236.69
21-Jun-17,6233.95
20-Jun-17,6188.03
19-Jun-17,6239.01
16-Jun-17,6151.76
15-Jun-17,6165.5
14-Jun-17,6194.89
13-Jun-17,6220.37
12-Jun-17,6175.47
09-Jun-17,6207.92
08-Jun-17,6321.76
07-Jun-17,6297.38
06-Jun-17,6275.06
05-Jun-17,6295.68
02-Jun-17,6305.8
01-Jun-17,6246.83
31-May-17,6198.52
30-May-17,6203.19
26-May-17,6210.19
25-May-17,6205.26
24-May-17,6163.02
23-May-17,6138.71
22-May-17,6133.62
19-May-17,6083.7
18-May-17,6055.13
17-May-17,6011.24
16-May-17,6169.87
15-May-17,6149.67
12-May-17,6121.23
11-May-17,6115.96
10-May-17,6129.14
09-May-17,6120.59
08-May-17,6102.66
05-May-17,6100.76
04-May-17,6075.34
03-May-17,6072.55
02-May-17,6095.37
01-May-17,6091.6
28-Apr-17,6047.61
27-Apr-17,6048.94
26-Apr-17,6025.23
25-Apr-17,6025.49
24-Apr-17,5983.82
21-Apr-17,5910.52
20-Apr-17,5916.78
19-Apr-17,5863.03
18-Apr-17,5849.47
17-Apr-17,5856.79
13-Apr-17,5805.15
12-Apr-17,5836.16
11-Apr-17,5866.77
